Date,Coin,Open,High,Low,Close,Volume,Market Cap,200_MA,150_MA,50_MA,52W_High,52W_Low,Volatility
2021-04-17,BTC,61334.81,61740.04,61114.14,61285.37,1992.888167,1992.888167,61285.37,61285.37,61285.37,61285.37,61285.37,0.01020464561641263
2021-04-16,BTC,63158.74,63520.61,60000.0,61334.8,91764.139884,91764.139884,61310.08500000001,61310.08500000001,61310.08500000001,61334.8,61285.37,0.0557422456496124
2021-04-15,BTC,62959.53,63800.0,62020.0,63159.98,51649.700339999996,51649.700339999996,61926.716666666674,61926.716666666674,61926.716666666674,63159.98,61285.37,0.028272129731591072
2021-04-14,BTC,63575.01,64854.0,61301.0,62959.53,82616.34399299999,82616.34399299999,62184.920000000006,62184.920000000006,62184.920000000006,63159.98,61285.37,0.055886739144830645
2021-04-13,BTC,59860.01,63777.77,59805.15,63575.0,82848.688746,82848.688746,62462.93600000001,62462.93600000001,62462.93600000001,63575.0,61285.37,0.06636517434594473
2021-04-12,BTC,59998.8,61300.0,59350.59,59860.0,56375.03711699999,56375.03711699999,62029.11333333334,62029.11333333334,62029.11333333334,63575.0,59860.0,0.032490816482996385
2021-04-11,BTC,59769.13,60699.0,59232.52,60002.43,41156.715391000005,41156.715391000005,61739.58714285715,61739.58714285715,61739.58714285715,63575.0,59860.0,0.024535742782269096
2021-04-10,BTC,58142.55,61500.0,57900.01,59769.13,69906.424117,69906.424117,61493.280000000006,61493.280000000006,61493.280000000006,63575.0,59769.13,0.06191661700424212
2021-04-09,BTC,58077.52,58894.9,57654.0,58142.54,40831.884911,40831.884911,61120.97555555556,61120.97555555556,61120.97555555556,63575.0,58142.54,0.02136627046058443
2021-04-08,BTC,55953.44,58153.31,55700.0,58077.52,44283.147019,44283.147019,60816.630000000005,60816.630000000005,60816.630000000005,63575.0,58077.52,0.04384556159549793
2021-04-07,BTC,57990.03,58655.0,55473.0,55953.45,71228.405659,71228.405659,60374.52272727273,60374.52272727273,60374.52272727273,63575.0,55953.45,0.05487150118735928
2021-04-06,BTC,59129.99,59495.24,57413.02,57991.15,54201.000727,54201.000727,60175.90833333333,60175.90833333333,60175.90833333333,63575.0,55953.45,0.03521427958976488
2021-04-05,BTC,58202.01,59272.0,56777.77,59129.99,54258.01579,54258.01579,60095.45307692308,60095.45307692308,60095.45307692308,63575.0,55953.45,0.04285470553336566
2021-04-04,BTC,57051.95,58492.85,56388.0,58202.01,41314.081973,41314.081973,59960.20714285714,59960.20714285714,59960.20714285714,63575.0,55953.45,0.0368935680550796
2021-04-03,BTC,58950.01,59791.72,56880.0,57051.94,47409.852113,47409.852113,59766.322666666674,59766.322666666674,59766.322666666674,63575.0,55953.45,0.04939303657454852
2021-04-02,BTC,58720.45,60200.0,58428.57,58950.01,47382.418781,47382.418781,59715.303125000006,59715.303125000006,59715.303125000006,63575.0,55953.45,0.030167173446388786
2021-04-01,BTC,58739.46,59490.0,57935.45,58720.44,47415.61722,47415.61722,59656.781764705884,59656.781764705884,59656.781764705884,63575.0,55953.45,0.026465173496658004
2021-03-31,BTC,58746.57,59800.0,56769.0,58740.55,60975.542665999994,60975.542665999994,59605.880000000005,59605.880000000005,59605.880000000005,63575.0,55953.45,0.05159450160239142
2021-03-30,BTC,57635.46,59368.0,57071.35,58746.57,55122.443122000004,55122.443122000004,59560.65315789475,59560.65315789475,59560.65315789475,63575.0,55953.45,0.03984786449175562
2021-03-29,BTC,55777.65,58405.82,54800.01,57635.47,67857.93739800001,67857.93739800001,59464.39400000001,59464.39400000001,59464.39400000001,63575.0,55953.45,0.06464614410969263
2021-03-28,BTC,55817.14,56559.75,54691.84,55777.63,39050.387511,39050.387511,59288.83380952381,59288.83380952381,59288.83380952381,63575.0,55777.63,0.03346481027154031
2021-03-27,BTC,55025.59,56700.36,53950.0,55817.14,50105.475055,50105.475055,59131.02954545454,59131.02954545454,59131.02954545454,63575.0,55777.63,0.049983289593078434
2021-03-26,BTC,51293.78,55073.46,51214.6,55025.59,63813.774692,63813.774692,58952.532173913045,58952.532173913045,58952.532173913045,63575.0,55025.59,0.07523056401770352
2021-03-25,BTC,52303.66,53287.0,50427.56,51293.78,87400.53453799999,87400.53453799999,58633.4175,58633.4175,58633.4175,63575.0,51293.78,0.05466997911809617
2021-03-24,BTC,54342.8,57200.0,51700.0,52303.65,83537.46502100001,83537.46502100001,58380.2268,58380.2268,58380.2268,63575.0,51293.78,0.10120935984159815
2021-03-23,BTC,54083.25,55830.9,53000.0,54340.89,59789.365427,59789.365427,58224.867692307686,58224.867692307686,58224.867692307686,63575.0,51293.78,0.05234337803293999
2021-03-22,BTC,57351.56,58430.73,53650.0,54083.25,62581.626169,62581.626169,58071.47444444444,58071.47444444444,58071.47444444444,63575.0,51293.78,0.08335832538818479
2021-03-21,BTC,58100.02,58589.1,55450.11,57351.56,48564.470274,48564.470274,58045.76321428571,58045.76321428571,58045.76321428571,63575.0,51293.78,0.054027348011239894
2021-03-20,BTC,58030.01,59880.0,57820.17,58102.28,44476.941776,44476.941776,58047.71206896551,58047.71206896551,58047.71206896551,63575.0,51293.78,0.03549594425367154
