date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD),Currency
2021-04-17,51196.165907,61334.81,51534.411388,61740.04,51011.972658,61114.14,51154.898339,61285.37,1992.888167,1992.888167,BTC
2021-04-16,52718.600278,63158.74,53020.653167,63520.61,50082.0,60000.0,51196.15756,61334.8,91764.139884,91764.139884,BTC
2021-04-15,52552.319691,62959.53,53253.86,63800.0,51768.094,62020.0,52719.635306,63159.98,51649.70034,51649.70034,BTC
2021-04-14,53066.060847,63575.01,54133.6338,64854.0,51167.9447,61301.0,52552.319691,62959.53,82616.343993,82616.343993,BTC
2021-04-13,49965.150347,59860.01,53235.304619,63777.77,49919.358705,59805.15,53066.0525,63575.0,82848.688746,82848.688746,BTC
2021-04-12,50080.99836,59998.8,51167.11,61300.0,49539.937473,59350.59,49965.142,59860.0,56375.037117,56375.037117,BTC
2021-04-11,49889.292811,59769.13,50665.4553,60699.0,49441.384444,59232.52,50084.028321,60002.43,41156.715391,41156.715391,BTC
2021-04-10,48531.586485,58142.55,51334.05,61500.0,48329.138347,57900.01,49889.292811,59769.13,69906.424117,69906.424117,BTC
2021-04-09,48477.305944,58077.52,49159.57303,58894.9,48123.7938,57654.0,48531.578138,58142.54,40831.884911,40831.884911,BTC
2021-04-08,46704.336368,55953.44,48540.567857,58153.31,46492.79,55700.0,48477.305944,58077.52,44283.147019,44283.147019,BTC
2021-04-07,48404.278041,57990.03,48959.3285,58655.0,46303.3131,55473.0,46704.344715,55953.45,71228.405659,71228.405659,BTC
2021-04-06,49355.802653,59129.99,49660.676828,59495.24,47922.647794,57413.02,48405.212905,57991.15,54201.000727,54201.000727,BTC
2021-04-05,48581.217747,58202.01,49474.3384,59272.0,47392.404619,56777.77,49355.802653,59129.99,54258.01579,54258.01579,BTC
2021-04-04,47621.262665,57051.95,48823.981895,58492.85,47067.0636,56388.0,48581.217747,58202.01,41314.081973,41314.081973,BTC
2021-04-03,49205.573347,58950.01,49908.148684,59791.72,47477.736,56880.0,47621.254318,57051.94,47409.852113,47409.852113,BTC
2021-04-02,49013.959615,58720.45,50248.94,60200.0,48770.327379,58428.57,49205.573347,58950.01,47382.418781,47382.418781,BTC
2021-04-01,49029.827262,58739.46,49656.303,59490.0,48358.720115,57935.45,49013.951268,58720.44,47415.61722,47415.61722,BTC
2021-03-31,49035.761979,58746.57,49915.06,59800.0,47385.0843,56769.0,49030.737085,58740.55,60975.542666,60975.542666,BTC
2021-03-30,48108.318462,57635.46,49554.4696,59368.0,47637.455845,57071.35,49035.761979,58746.57,55122.443122,55122.443122,BTC
2021-03-29,46557.604455,55777.65,48751.337954,58405.82,45741.568347,54800.01,48108.326809,57635.47,67857.937398,67857.937398,BTC
2021-03-28,46590.566758,55817.14,47210.423325,56559.75,45651.278848,54691.84,46557.587761,55777.63,39050.387511,39050.387511,BTC
2021-03-27,45929.859973,55025.59,47327.790492,56700.36,45032.065,53950.0,46590.566758,55817.14,50105.475055,50105.475055,BTC
2021-03-26,42814.918166,51293.78,45969.817062,55073.46,42748.82662,51214.6,45929.859973,55025.59,63813.774692,63813.774692,BTC
2021-03-25,43657.865002,52303.66,44478.6589,53287.0,42091.884332,50427.56,42814.918166,51293.78,87400.534538,87400.534538,BTC
2021-03-24,45359.93516,54342.8,47744.84,57200.0,43153.99,51700.0,43657.856655,52303.65,83537.465021,83537.465021,BTC
2021-03-23,45143.288775,54083.25,46602.05223,55830.9,44239.1,53000.0,45358.340883,54340.89,59789.365427,59789.365427,BTC
2021-03-22,47871.347132,57351.56,48772.130331,58430.73,44781.655,53650.0,45143.288775,54083.25,62581.626169,62581.626169,BTC
2021-03-21,48496.086694,58100.02,48904.32177,58589.1,46284.206817,55450.11,47871.347132,57351.56,48564.470274,48564.470274,BTC
2021-03-20,48437.649347,58030.01,49981.836,59880.0,48262.495899,57820.17,48497.973116,58102.28,44476.941776,44476.941776,BTC
2021-03-19,48112.9427,57641.0,49637.9396,59468.0,46969.186678,56270.74,48437.649347,58030.01,52392.652961,52392.652961,BTC
2021-03-18,49174.656059,58912.97,50190.485959,60129.97,47597.0981,57023.0,48118.919152,57648.16,66580.406675,66580.406675,BTC
2021-03-17,47495.047678,56900.74,49226.207131,58974.73,45177.044043,54123.69,49174.656059,58912.97,70421.620841,70421.620841,BTC
2021-03-16,46413.66044,55605.2,47526.390663,56938.29,44465.587498,53271.34,47495.056025,56900.75,77986.694355,77986.694355,BTC
2021-03-15,49227.333976,58976.08,50610.724021,60633.43,45574.62,54600.0,46413.66044,55605.2,102771.427298,102771.427298,BTC
2021-03-14,51073.940786,61188.38,51521.682213,61724.79,49219.571266,58966.78,49220.848357,58968.31,52601.05275,52601.05275,BTC
2021-03-13,47762.969684,57221.72,51621.1868,61844.0,46808.498581,56078.23,51073.949133,61188.39,83245.091346,83245.091346,BTC
2021-03-12,48223.248305,57773.15,48480.636397,58081.51,45877.482548,54962.84,47762.969684,57221.72,73405.406047,73405.406047,BTC
2021-03-11,46619.322173,55851.59,48537.805,58150.0,45301.522854,54272.82,48223.256652,57773.16,81914.812859,81914.812859,BTC
2021-03-10,45803.887049,54874.67,47901.504843,57387.69,44243.2735,53005.0,46619.322173,55851.59,84749.238943,84749.238943,BTC
2021-03-09,43717.562746,52375.18,45820.8565,54895.0,43228.620527,51789.41,45812.09215,54884.5,71656.737076,71656.737076,BTC
2021-03-08,42535.569117,50959.11,43740.600466,52402.78,41129.567049,49274.67,43717.554399,52375.17,66987.359664,66987.359664,BTC
2021-03-07,40801.97234,48882.2,42945.340041,51450.03,40801.97234,48882.2,42546.119725,50971.75,55235.028032,55235.028032,BTC
2021-03-06,40688.962307,48746.81,41067.24,49200.0,39289.329,47070.0,40801.97234,48882.2,44399.234242,44399.234242,BTC
2021-03-05,40377.852923,48374.09,41275.021871,49448.93,38646.61,46300.0,40693.052337,48751.71,78192.496372,78192.496372,BTC
2021-03-04,42026.619139,50349.37,43215.657636,51773.88,39648.25,47500.0,40377.852923,48374.09,82649.716829,82649.716829,BTC
2021-03-03,40430.038367,48436.61,43938.608,52640.0,40149.662637,48100.71,42026.619139,50349.37,81035.913705,81035.913705,BTC
2021-03-02,41397.580872,49595.76,41901.94,50200.0,39270.63172,47047.6,40433.410555,48440.65,64221.06214,64221.06214,BTC
2021-03-01,37673.441617,45134.11,41559.713,49790.0,37520.207391,44950.53,41390.293941,49587.03,85086.111648,85086.111648,BTC
2021-02-28,38482.733349,46103.67,38929.122562,46638.46,35892.1,43000.0,37674.735402,45135.66,83055.369042,83055.369042,BTC
2021-02-27,38627.311736,46276.88,40394.4718,48394.0,37561.5,45000.0,38485.037121,46106.43,66060.834292,66060.834292,BTC
2021-02-26,39292.442431,47073.73,40419.604617,48424.11,36815.929266,44106.78,38627.303389,46276.87,109423.200663,109423.200663,BTC
2021-02-25,41464.732487,49676.21,43439.232031,52041.73,38959.071598,46674.34,39292.442431,47073.73,83310.673121,83310.673121,BTC
2021-02-24,40809.3177,48891.0,42882.704153,51374.99,39221.459543,46988.69,41464.72414,49676.2,91881.209252,91881.209252,BTC
2021-02-23,45146.978149,54087.67,45227.042573,54183.59,37471.819832,44892.56,40809.3177,48891.0,169375.025051,169375.025051,BTC
2021-02-22,47922.088545,57412.35,48002.319909,57508.47,39750.0834,47622.0,45146.978149,54087.67,134019.434944,134019.434944,BTC
2021-02-21,46610.641293,55841.19,48707.08216,58352.8,46307.144373,55477.59,47918.933379,57408.57,58166.708511,58166.708511,BTC
2021-02-20,46664.7382,55906.0,48162.573962,57700.46,44960.222371,53863.93,46610.641293,55841.19,80948.205314,80948.205314,BTC
2021-02-19,43030.963567,51552.61,47050.3696,56368.0,42327.80394,50710.2,46664.7382,55906.0,79659.77802,79659.77802,BTC
