date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD),Currency
2021-04-17,49029.827262,58739.46,54133.6338,64854.0,46303.3131,55473.0,51154.898339,61285.37,926634.361948,926634.361948,BTC
2021-03-31,37673.441617,45134.11,51621.1868,61844.0,37520.207391,44950.53,49030.737085,58740.55,2098808.02743,2098808.02743,BTC
2021-02-28,27622.702059,33092.97,48707.08216,58352.8,26957.604752,32296.16,37674.735402,45135.66,2518242.14852,2518242.14852,BTC
2021-01-31,24142.553961,28923.63,35015.665,41950.0,23480.111,28130.0,27622.710406,33092.98,3435639.25794,3435639.25794,BTC
2020-12-31,16440.142689,19695.87,24456.71,29300.0,14667.623851,17572.33,24142.553961,28923.63,2495281.85622,2495281.85622,BTC
2020-11-30,11511.3477,13791.0,16579.779652,19863.16,11013.908235,13195.05,16440.142689,19695.87,2707064.91117,2707064.91117,BTC
2020-10-31,8995.219673,10776.59,11769.27,14100.0,8659.1778,10374.0,11511.3477,13791.0,1592619.95449,1592619.95449,BTC
2020-09-30,9723.845997,11649.51,10058.844495,12050.85,8200.9275,9825.0,8995.219673,10776.59,1730389.16018,1730389.16018,BTC
2020-08-31,9461.708462,11335.46,10407.0396,12468.0,8779.79195,10518.5,9723.845997,11649.51,1891193.00713,1891193.00713,BTC
2020-07-31,7627.555376,9138.08,9552.3068,11444.0,7423.012141,8893.03,9461.708462,11335.46,1507827.21494,1507827.21494,BTC
2020-06-30,7886.470969,9448.27,8664.186,10380.0,7372.9051,8833.0,7627.947685,9138.55,1504745.51792,1504745.51792,BTC
2020-05-31,7195.114,8620.0,8402.9249,10067.0,6775.2599,8117.0,7886.470969,9448.27,2685340.07851,2685340.07851,BTC
2020-04-30,5352.213258,6412.14,7896.262,9460.0,5133.496817,6150.11,7195.114,8620.0,2528373.69112,2528373.69112,BTC
2020-03-31,7114.657267,8523.61,7669.2236,9188.0,3156.943911,3782.13,5350.794268,6410.44,3789768.91313,3789768.91313,BTC
2020-02-29,7805.872337,9351.71,8764.35,10500.0,7049.0415,8445.0,7114.657267,8523.61,1609726.15456,1609726.15456,BTC
2020-01-31,6005.866828,7195.24,7994.7566,9578.0,5735.257088,6871.04,7806.857283,9352.89,1691323.13778,1691323.13778,BTC
2019-12-31,6294.163861,7540.63,6468.925,7750.0,5371.2945,6435.0,6005.858481,7195.23,1307026.46794,1307026.46794,BTC
2019-11-30,7629.875842,9140.86,7941.068696,9513.68,5438.0705,6515.0,6295.215583,7541.89,1499118.775,1499118.775,BTC
2019-10-31,6919.637959,8289.97,8655.839,10370.0,6093.31,7300.0,7629.867495,9140.85,1446755.85472,1446755.85472,BTC
2019-09-30,8003.721278,9588.74,9103.129689,10905.87,6435.537,7710.0,6919.112098,8289.34,1116856.47584,1116856.47584,BTC
2019-08-31,8414.218391,10080.53,10292.43529,12330.7,7779.404,9320.0,8002.661209,9587.47,1201961.57632,1201961.57632,BTC
2019-07-31,9059.91727,10854.1,10973.867676,13147.08,7562.382,9060.0,8414.218391,10080.53,1886176.06591,1886176.06591,BTC
2019-06-30,7140.8585,8555.0,11660.759,13970.0,6213.990926,7444.58,9059.91727,10854.1,1689489.64733,1689489.64733,BTC
