date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD),Currency
2021-04-17,50080.99836,59998.8,54133.6338,64854.0,49539.937473,59350.59,51154.898339,61285.37,367246.798247,367246.798247,BTC
2021-04-11,48581.217747,58202.01,51334.05,61500.0,46303.3131,55473.0,50084.028321,60002.43,375865.593614,375865.593614,BTC
2021-04-04,46557.604455,55777.65,50248.94,60200.0,45741.568347,54800.01,48581.217747,58202.01,367477.893273,367477.893273,BTC
2021-03-28,47871.347132,57351.56,48772.130331,58430.73,42091.884332,50427.56,46557.587761,55777.63,446278.628413,446278.628413,BTC
2021-03-21,49227.333976,58976.08,50610.724021,60633.43,44465.587498,53271.34,47871.347132,57351.56,463194.21418,463194.21418,BTC
2021-03-14,42535.569117,50959.11,51621.1868,61844.0,41129.567049,49274.67,49220.848357,58968.31,514559.698685,514559.698685,BTC
2021-03-07,37673.441617,45134.11,43938.608,52640.0,37520.207391,44950.53,42546.119725,50971.75,490819.562968,490819.562968,BTC
2021-02-28,47922.088545,57412.35,48002.319909,57508.47,35892.1,43000.0,37674.735402,45135.66,737125.746365,737125.746365,BTC
2021-02-21,40550.118309,48580.47,48707.08216,58352.8,38037.938413,45570.79,47918.933379,57408.57,533487.799699,533487.799699,BTC
2021-02-14,32382.762443,38795.69,41490.791821,49707.43,31709.326483,37988.89,40547.881313,48577.79,664186.270909,664186.270909,BTC
2021-02-07,27622.702059,33092.97,34185.564197,40955.51,26957.604752,32296.16,32382.762443,38795.69,583442.331544,583442.331544,BTC
2021-01-31,26926.962915,32259.45,32162.57693,38531.9,24408.063684,29241.72,27622.710406,33092.98,747463.508509,747463.508509,BTC
2021-01-24,29903.119153,35824.99,31593.395,37850.0,24081.095,28850.0,26927.33853,32259.9,637026.042053,637026.042053,BTC
2021-01-17,31843.821694,38150.02,33471.47,40100.0,25391.574,30420.0,29906.140767,35828.61,895315.076106,895315.076106,BTC
2021-01-10,27545.141735,33000.05,35015.665,41950.0,23480.111,28130.0,31843.821694,38150.02,850700.266152,850700.266152,BTC
2021-01-03,21937.201438,26281.54,29029.288417,34778.11,21602.036,25880.0,27545.141735,33000.05,625132.263203,625132.263203,BTC
2020-12-27,19578.339238,23455.54,23723.8434,28422.0,18208.9805,21815.0,21937.301602,26281.66,688906.560557,688906.560557,BTC
2020-12-20,16005.364153,19174.99,20279.0365,24295.0,15859.3,19000.0,19578.322544,23455.52,650661.7243,650661.7243,BTC
2020-12-13,16158.681849,19358.67,16210.633577,19420.91,14667.623851,17572.33,16005.364153,19174.99,414166.997237,414166.997237,BTC
2020-12-06,15179.0195,18185.0,16600.5136,19888.0,15025.534864,18001.12,16159.29118,19359.4,537012.142931,537012.142931,BTC
2020-11-29,15370.065636,18413.88,16263.470087,19484.21,13512.1236,16188.0,15179.011153,18184.99,676351.579974,676351.579974,BTC
2020-11-22,13319.3079,15957.0,15830.83673,18965.9,13241.6808,15864.0,15370.524721,18414.43,684197.642829,684197.642829,BTC
2020-11-15,12917.06597,15475.1,13755.856,16480.0,12358.184238,14805.54,13319.3079,15957.0,529729.426496,529729.426496,BTC
2020-11-08,11486.715703,13761.49,13321.812,15960.0,11013.908235,13195.05,12917.06597,15475.1,665037.146452,665037.146452,BTC
2020-11-01,10875.840508,13029.64,11769.27,14100.0,10654.9455,12765.0,11486.72405,13761.5,485344.056262,485344.056262,BTC
2020-10-25,9601.670958,11503.14,11143.245,13350.0,9522.224212,11407.96,10875.164401,13028.83,418993.354681,418993.354681,BTC
2020-10-18,9489.720994,11369.02,9782.692347,11720.01,9325.2684,11172.0,9601.670958,11503.14,279657.097047,279657.097047,BTC
2020-10-11,8903.427714,10666.62,9591.5377,11491.0,8785.2175,10525.0,9489.720994,11369.02,288404.145494,288404.145494,BTC
2020-10-04,8993.274822,10774.26,9139.965,10950.0,8659.1778,10374.0,8903.436061,10666.63,288073.126989,288073.126989,BTC
2020-09-27,9115.157716,10920.28,9172.401442,10988.86,8461.203654,10136.82,8993.266475,10774.25,331299.291081,331299.291081,BTC
2020-09-20,8624.821548,10332.84,9331.770713,11179.79,8524.240198,10212.34,9115.157716,10920.28,374339.558814,374339.558814,BTC
2020-09-13,8560.591383,10255.89,8831.217817,10580.11,8221.795,9850.0,8624.813201,10332.83,366759.994048,366759.994048,BTC
2020-09-06,9775.313599,11711.17,10058.844495,12050.85,8200.9275,9825.0,8560.85014,10256.2,581777.756525,581777.756525,BTC
2020-08-30,9722.685764,11648.12,9870.24403,11824.9,9279.894108,11117.64,9775.305252,11711.16,355153.169372,355153.169372,BTC
2020-08-23,9942.103353,11910.99,10407.0396,12468.0,9496.223307,11376.81,9722.694111,11648.13,426710.483502,426710.483502,BTC
2020-08-16,9750.706643,11681.69,10072.617045,12067.35,9286.0375,11125.0,9942.1117,11911.0,468167.72232,468167.72232,BTC
2020-08-09,9241.264192,11071.36,9941.226918,11909.94,9128.2792,10936.0,9750.698296,11681.68,403167.45146,403167.45146,BTC
2020-08-02,8289.856438,9931.54,10119.452062,12123.46,8277.895187,9917.21,9241.255845,11071.35,637793.811724,637793.811724,BTC
2020-07-26,7686.743953,9208.99,8439.6517,10111.0,7621.6457,9131.0,8289.856438,9931.54,346433.535115,346433.535115,BTC
2020-07-19,7765.472857,9303.31,7799.286554,9343.82,7551.739575,9047.25,7686.743953,9208.99,247602.692095,247602.692095,BTC
2020-07-12,7570.236527,9069.41,7904.609,9470.0,7558.976424,9055.92,7765.005425,9302.75,284964.999673,284964.999673,BTC
2020-07-05,7609.258752,9116.16,7756.0324,9292.0,7423.012141,8893.03,7570.236527,9069.41,247256.195125,247256.195125,BTC
2020-06-28,7758.277743,9294.69,8163.366,9780.0,7372.9051,8833.0,7609.417345,9116.35,343601.083154,343601.083154,BTC
2020-06-21,7797.85087,9342.1,8003.9383,9589.0,7437.552615,8910.45,7758.277743,9294.69,323565.711842,323565.711842,BTC
